Sample	fq1	fq2
UTD101	/home/jiapengc/vendors/Brinta_72MTG/zcatFq/BC-230713-UTD1-01_R1.fq	/home/jiapengc/vendors/Brinta_72MTG/zcatFq/BC-230713-UTD1-01_R2.fq
TtestD303	/home/jiapengc/vendors/Brinta_72MTG/zcatFq/BC-230713-TtestD3-03_R1.fq	/home/jiapengc/vendors/Brinta_72MTG/zcatFq/BC-230713-TtestD3-03_R2.fq
